14:00:12.311; 0; Start of recording
14:00:13.311; 1; MiniFactory/Right/Factory/FactoryStatus/Data; {'status': 'Program started'}
14:00:13.356; 2; MiniFactory/Right/Factory/MachineStatus/Data; {'CB1': ['FREE', 'None'], 'CB3': ['FREE', 'None'], 'CB4': ['FREE', 'None'], 'CB4_TO_WH': ['FREE', 'None'], 'CB4_TO_CB5': ['FREE', 'None'], 'CB5': ['FREE', 'None'], 'GR1': ['FREE', 'None'], 'GR2': ['FREE', 'None'], 'GR2_CB1_TO_CB3': ['FREE', 'None'], 'GR2_CB1_TO_PM': ['FREE', 'None'], 'GR2_PM_TO_CB3': ['FREE', 'None'], 'GR3': ['FREE', 'None'], 'VG1': ['FREE', 'None'], 'VG1_STORE': ['FREE', 'None'], 'VG1_RETRIEVE': ['FREE', 'None'], 'VG2': ['FREE', 'None'], 'MPS': ['FREE', 'None'], 'PM': ['FREE', 'None'], 'SL': ['FREE', 'None'], 'WH': ['FREE', 'None'], 'WH_STORE': ['FREE', 'None'], 'WH_RETRIEVE': ['FREE', 'None'], 'WAITING': ['FREE', 'None'], 'TEST': ['FREE', 'None']}
14:00:14.223; 3; MiniFactory/Right/Factory/WHContent/Set; [['WHITE', 'RED', 'BLUE'], ['Carrier', 'Carrier', 'Empty'], ['Empty', 'Empty', 'Empty']]
14:00:14.272; 4; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Init', 'run': True, 'start_at': 'INIT', 'end_at': 'END'}
14:00:14.272; 5; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line1', 'run': True, 'start_at': 'start', 'end_at': 'end', 'with_oven': True, 'with_saw': True, 'color': 'WHITE'}
14:00:14.272; 6; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line2s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_saw': True, 'with_PM': True, 'color': 'RED'}
14:00:14.272; 7; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'color': 'RED', 'start_when': 'Line2s'}
14:00:14.272; 8; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line3', 'run': True, 'start_at': 'start', 'end_at': 'end', 'color': 'BLUE'}
14:00:14.272; 9; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line4w', 'run': True, 'start_at': 'storage', 'end_at': 'END', 'color': 'RED', 'end_int': True}
14:00:14.272; 10; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line4s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'color': 'RED', 'start_int': True, 'start_when': 'Line4w'}
14:00:14.322; 11; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Init', 'run': True, 'start_at': 'INIT', 'end_at': 'END'}}
14:00:14.322; 12; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line1', 'run': True, 'start_at': 'start', 'end_at': 'end', 'with_oven': True, 'with_saw': True, 'color': 'WHITE'}}
14:00:14.322; 13; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line2s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_saw': True, 'with_PM': True, 'color': 'RED'}}
14:00:14.334; 14; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'color': 'RED', 'start_when': 'Line2s'}}
14:00:14.335; 15; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line3', 'run': True, 'start_at': 'start', 'end_at': 'end', 'color': 'BLUE'}}
14:00:14.336; 16; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line4w', 'run': True, 'start_at': 'storage', 'end_at': 'END', 'color': 'RED', 'end_int': True}}
14:00:14.338; 17; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line4s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'color': 'RED', 'start_int': True, 'start_when': 'Line4w'}}
14:00:14.339; 18; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.341; 19; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.341; 20; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.341; 21; MiniFactory/Right/Factory/LineStatus/Data; {'Line2w': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.344; 22; MiniFactory/Right/Factory/LineStatus/Data; {'Line3': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.345; 23; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.379; 24; MiniFactory/Right/Factory/LineStatus/Data; {'Line4s': {'self': {'state': 'INIT', 'product_at': None}}}
14:00:14.720; 25; MiniFactory/Right/Factory/FactoryCommand/Set; {'run': True}
14:00:14.763; 26; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Init', 'at': 'INIT'}}
14:00:14.821; 27; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'GR2': {'status': 'INIT'}, 'GR3': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}, 'WH': {'status': 'INIT'}}}
14:00:15.140; 28; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'GR2': {'status': 'INIT'}, 'GR3': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
14:00:15.202; 29; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR2': {'status': 'INIT'}, 'GR3': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
14:00:15.252; 30; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'GR3': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
14:00:15.252; 31; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
14:00:15.302; 32; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'VG2': {'status': 'INIT'}}}
14:00:15.302; 33; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': None}}}
14:00:15.302; 34; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_ended': {'name': 'Init', 'at': 'END'}}
14:00:15.302; 35; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': 'END'}}}
14:00:15.352; 36; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_stopped': 'Init'}
14:00:15.352; 37; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line1', 'at': 'GR1'}}
14:00:15.352; 38; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line2s', 'at': 'GR1'}}
14:00:15.352; 39; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line3', 'at': 'GR1'}}
14:00:15.352; 40; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line4w', 'at': 'WH_RETRIEVE'}}
