12:06:18.391; 0; Start of recording
12:06:19.567; 1; MiniFactory/Left/Factory/FactoryStatus/Data; {'status': 'Program started'}
12:06:19.618; 2; MiniFactory/Left/Factory/MachineStatus/Data; {'CB1': ['FREE', 'None'], 'CB3': ['FREE', 'None'], 'CB4': ['FREE', 'None'], 'CB4_TO_WH': ['FREE', 'None'], 'CB4_TO_CB5': ['FREE', 'None'], 'CB5': ['FREE', 'None'], 'GR1': ['FREE', 'None'], 'GR2': ['FREE', 'None'], 'GR2_CB1_TO_CB3': ['FREE', 'None'], 'GR2_CB1_TO_PM': ['FREE', 'None'], 'GR2_PM_TO_CB3': ['FREE', 'None'], 'GR3': ['FREE', 'None'], 'VG1': ['FREE', 'None'], 'VG1_STORE': ['FREE', 'None'], 'VG1_RETRIEVE': ['FREE', 'None'], 'INDX': ['FREE', 'None'], 'MPS': ['FREE', 'None'], 'PM': ['FREE', 'None'], 'WH': ['FREE', 'None'], 'WH_STORE': ['FREE', 'None'], 'WH_RETRIEVE': ['FREE', 'None'], 'WAITING': ['FREE', 'None'], 'TEST': ['FREE', 'None']}
12:06:34.367; 3; MiniFactory/Left/Factory/WHContent/Set; [['WHITE', 'RED', 'BLUE'], ['Carrier', 'Carrier', 'Empty'], ['Empty', 'Empty', 'Empty']]
12:06:34.416; 4; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Init', 'run': True, 'start_at': 'INIT', 'end_at': 'END'}
12:06:34.416; 5; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line1', 'run': True, 'start_at': 'start', 'end_at': 'end', 'with_oven': True, 'with_saw': True, 'with_mill': True, 'with_drill': True, 'color': 'WHITE'}
12:06:34.416; 6; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line2s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_saw': True, 'with_PM': True, 'color': 'RED'}
12:06:34.416; 7; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'color': 'RED', 'start_when': 'Line2s'}
12:06:34.416; 8; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line3', 'run': True, 'start_at': 'start', 'end_at': 'end', 'color': 'BLUE'}
12:06:34.423; 9; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line4w', 'run': True, 'start_at': 'storage', 'end_at': 'END', 'with_mill': True, 'with_drill': True, 'color': 'RED', 'end_int': True}
12:06:34.425; 10; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line4s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'color': 'RED', 'start_int': True, 'start_when': 'Line4w'}
12:06:34.628; 11; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_added': {'name': 'Init', 'run': True, 'start_at': 'INIT', 'end_at': 'END'}}
12:06:34.628; 12; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line1', 'run': True, 'start_at': 'start', 'end_at': 'end', 'with_oven': True, 'with_saw': True, 'with_mill': True, 'with_drill': True, 'color': 'WHITE'}}
12:06:34.644; 13; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line2s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_saw': True, 'with_PM': True, 'color': 'RED'}}
12:06:34.646; 14; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'color': 'RED', 'start_when': 'Line2s'}}
