12:19:13.231; 0; Start of recording
12:19:14.231; 39; MiniFactory/Right/Factory/FactoryStatus/Data; {'status': 'Program started'}
12:19:14.273; 40; MiniFactory/Right/Factory/MachineStatus/Data; {'CB1': ['FREE', 'None'], 'CB3': ['FREE', 'None'], 'CB4': ['FREE', 'None'], 'CB4_TO_WH': ['FREE', 'None'], 'CB4_TO_CB5': ['FREE', 'None'], 'CB5': ['FREE', 'None'], 'GR1': ['FREE', 'None'], 'GR2': ['FREE', 'None'], 'GR2_CB1_TO_CB3': ['FREE', 'None'], 'GR2_CB1_TO_PM': ['FREE', 'None'], 'GR2_PM_TO_CB3': ['FREE', 'None'], 'GR3': ['FREE', 'None'], 'VG1': ['FREE', 'None'], 'VG1_STORE': ['FREE', 'None'], 'VG1_RETRIEVE': ['FREE', 'None'], 'VG2': ['FREE', 'None'], 'MPS': ['FREE', 'None'], 'PM': ['FREE', 'None'], 'SL': ['FREE', 'None'], 'WH': ['FREE', 'None'], 'WH_STORE': ['FREE', 'None'], 'WH_RETRIEVE': ['FREE', 'None'], 'WAITING': ['FREE', 'None'], 'TEST': ['FREE', 'None']}
12:19:20.260; 41; MiniFactory/Right/Factory/WHContent/Set; [['WHITE', 'RED', 'BLUE'], ['Carrier', 'Carrier', 'Empty'], ['Empty', 'Empty', 'Empty']]
12:19:20.262; 42; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line1s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'with_saw': True, 'with_PM': True, 'color': 'WHITE'}
12:19:20.263; 43; MiniFactory/Right/Factory/LineConfig/Set; {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'color': 'WHITE', 'start_when': 'Line1s'}
12:19:20.759; 44; MiniFactory/Right/Factory/FactoryCommand/Set; {'run': True}
12:19:21.264; 45; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line1s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'with_saw': True, 'with_PM': True, 'color': 'WHITE'}}
12:19:21.313; 46; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'color': 'WHITE', 'start_when': 'Line1s'}}
12:19:21.314; 47; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line1s', 'at': 'GR1'}}
12:19:21.315; 48; MiniFactory/Right/Factory/MachineStatus/Data; {'GR1': ['RUNNING', 'Line1s']}
12:19:21.316; 49; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}}}
12:19:21.316; 50; MiniFactory/Right/Factory/LineStatus/Data; {'Line2w': {'self': {'state': 'INIT', 'product_at': None}}}
12:19:21.317; 51; MiniFactory/Right/Factory/MachineStatus/Data; {'MPS': ['RUNNING', 'Line1s']}
12:19:21.318; 52; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
12:19:21.505; 53; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
12:19:30.183; 54; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
12:19:30.986; 55; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
12:19:31.006; 56; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
12:19:37.274; 57; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}, 'MPS': {'status': 'INIT'}}}
12:19:37.354; 58; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}, 'MPS': {'status': 'INIT'}}}
12:19:38.439; 59; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
12:19:46.315; 60; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'RELEASE'}, 'MPS': {'status': 'INIT'}}}
12:19:47.141; 61; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
12:19:47.159; 62; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'START'}}}
12:19:47.178; 63; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'OVEN'}}}
12:19:55.415; 64; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'TO_TABLE'}}}
12:19:56.662; 65; MiniFactory/Right/Factory/MachineStatus/Data; {'GR1': ['FREE', 'None']}
12:19:56.663; 66; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_TABLE'}}}
12:20:06.105; 67; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_SAW'}}}
12:20:07.752; 68; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'SAWING'}}}
12:20:09.759; 69; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_CB'}}}
