11:57:21.332; 0; Start of recording
11:57:24.394; 1; MiniFactory/Left/Factory/FactoryStatus/Data; {'status': 'Program started'}
11:57:24.447; 2; MiniFactory/Left/Factory/MachineStatus/Data; {'CB1': ['FREE', 'None'], 'CB3': ['FREE', 'None'], 'CB4': ['FREE', 'None'], 'CB4_TO_WH': ['FREE', 'None'], 'CB4_TO_CB5': ['FREE', 'None'], 'CB5': ['FREE', 'None'], 'GR1': ['FREE', 'None'], 'GR2': ['FREE', 'None'], 'GR2_CB1_TO_CB3': ['FREE', 'None'], 'GR2_CB1_TO_PM': ['FREE', 'None'], 'GR2_PM_TO_CB3': ['FREE', 'None'], 'GR3': ['FREE', 'None'], 'VG1': ['FREE', 'None'], 'VG1_STORE': ['FREE', 'None'], 'VG1_RETRIEVE': ['FREE', 'None'], 'INDX': ['FREE', 'None'], 'MPS': ['FREE', 'None'], 'PM': ['FREE', 'None'], 'WH': ['FREE', 'None'], 'WH_STORE': ['FREE', 'None'], 'WH_RETRIEVE': ['FREE', 'None'], 'WAITING': ['FREE', 'None'], 'TEST': ['FREE', 'None']}
11:57:25.121; 3; MiniFactory/Left/Factory/WHContentt/Set; [['WHITE', 'RED', 'BLUE'], ['Carrier', 'Carrier', 'Empty'], ['Empty', 'Empty', 'Empty']]
11:57:25.166; 4; MiniFactory/Left/Factory/LineConfig/Set; {'name': 'Line1s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'with_saw': True, 'with_PM': True, 'color': 'WHITE'}
11:57:25.169; 5; LineConfig/Set; {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'with_mill': True, 'with_drill': True, 'color': 'WHITE', 'start_when': 'Line1s'}
11:57:25.391; 6; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line1s', 'run': True, 'start_at': 'start', 'end_at': 'storage', 'with_oven': True, 'with_saw': True, 'with_PM': True, 'color': 'WHITE'}}
11:57:25.451; 7; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_added': {'name': 'Line2w', 'run': True, 'start_at': 'storage', 'end_at': 'end', 'with_mill': True, 'with_drill': True, 'color': 'WHITE', 'start_when': 'Line1s'}}
11:57:25.451; 8; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'INIT', 'product_at': None}}}
11:57:25.451; 9; MiniFactory/Left/Factory/LineStatus/Data; {'Line2w': {'self': {'state': 'INIT', 'product_at': None}}}
11:57:25.619; 10; MiniFactory/Left/Factory/FactoryCommand/Set; {'run': True}
11:57:25.665; 11; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line1s', 'at': 'GR1'}}
11:57:25.665; 12; MiniFactory/Left/Factory/MachineStatus/Data; {'GR1': ['RUNNING', 'Line1s']}
11:57:25.665; 13; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}}}
11:57:25.665; 14; MiniFactory/Left/Factory/MachineStatus/Data; {'MPS': ['RUNNING', 'Line1s']}
11:57:25.665; 15; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
11:57:25.859; 16; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
11:57:34.433; 17; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
11:57:35.279; 18; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
11:57:35.329; 19; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
11:57:41.709; 20; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}, 'MPS': {'status': 'INIT'}}}
11:57:42.678; 21; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}, 'MPS': {'status': 'INIT'}}}
11:57:42.908; 22; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
11:57:50.706; 23; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'RELEASE'}, 'MPS': {'status': 'INIT'}}}
11:57:51.645; 24; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
11:57:51.693; 25; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'START'}}}
11:57:51.694; 26; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'OVEN'}}}
11:57:59.376; 27; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'TO_TABLE'}}}
11:58:01.215; 28; MiniFactory/Left/Factory/MachineStatus/Data; {'GR1': ['FREE', 'None']}
